Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Resource,EDA Tools for Economic Development,U.S. Economic Development Administration,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Resource hub,downtown; main street; placemaking; economic development; business; planning,"Collects federal tools for economic development planning, data analysis, project development, and local capacity building.",Free public resource,None,https://www.eda.gov/resources/tools,2026-08-14,RERC-RES-R2-042
Resource,Growing Rural Equitable Outdoor Recreation Economies,Aspen Institute Community Strategies Group,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Resource hub,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"Aspen Institute Community Strategies Group, Growing Rural Equitable Outdoor Recreation Economies. The Aspen Institute has several resources on the topic of making outdoor recreation economies more equitable for rural communities.",Free public resource,None,https://www.aspencsg.org/learning-to-grow-equitable-outdoor-recreation-economies/,2026-08-14,RERC-RES-R2-046
Resource,How Outdoor Recreation Supports Rural Economic Development,The Daily Yonder,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"Explains how outdoor recreation can create jobs, attract visitors, and support rural economic development.",Free public resource,None,https://dailyyonder.com/speak-piece-outdoor-recreation-supports-rural-economic-development/2019/02/25/,2026-08-14,RERC-RES-R2-048
Resource,Recreation Is a Bigger Share of the U.S. Economy Than Agriculture or Mining,The Daily Yonder,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,Summarizes federal data showing outdoor recreation's share of the U.S. economy.,Free public resource,None,https://dailyyonder.com/recreation-bigger-share-u-s-economy-ag-mining-report-says/2018/05/10/,2026-08-14,RERC-RES-R2-049
Resource,Rural Recreation Counties Show More Population Resilience,The Daily Yonder,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,Reviews research showing that many rural recreation counties have retained or gained population better than similar places.,Free public resource,None,https://dailyyonder.com/rural-recreation-counties-show-population-resilience/2019/02/11/,2026-08-14,RERC-RES-R2-050
Resource,Economic Profile System,Headwaters Economics,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Data and analysis tool,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"Creates free reports about people, jobs, land, and major industries for a community, county, or state.",Free public resource,None,https://headwaterseconomics.org/tools/economic-profile-system/about-eps/,2026-08-14,RERC-RES-R2-054
Resource,National Forest Socioeconomic Indicators Tool,Headwaters Economics,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Data and analysis tool,land use; conservation; outdoor recreation; economic development; planning,"Tool allowing users to run free, easy-to-use reports detailing economics, demographics, land use, business sectors, and other topics for communities near every National Forest.",Free public resource,None,https://apps.headwaterseconomics.org/eps-usfs,2026-08-14,RERC-RES-R2-056
Resource,National Governors Association Outdoor Recreation Learning Network,National Governors Association,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Resource hub,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"Connects states with peer learning, policy examples, and resources for growing outdoor recreation economies.",Free public resource,None,https://www.nga.org/issues/outdoor-recreation/,2026-08-14,RERC-RES-R2-058
Resource,Outdoor Participation Report,Outdoor Industry Association,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,(2023). Study showing levels of participation in outdoor activities.,Free public resource,None,https://outdoorindustry.org/resource/2024-outdoor-retail-trends-report/,2026-08-14,RERC-RES-R2-062
Resource,Rural Economic Development Toolkit,Outdoor Recreation Roundtable,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Toolkit or guide,outdoor recreation; tourism; recreation economy; workforce; economic development; data,Provides practical steps for rural communities to use outdoor recreation in economic development.,Free public resource,None,https://recreationroundtable.org/programs/rural-development/,2026-08-14,RERC-RES-R2-072
Resource,Work in the Outdoors: Resources to Support the Outdoor Workforce and Career Paths in the Rec Economy (2022),Outdoor Recreation Roundtable,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Webinar or video,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"To release the “Outdoor Rec Drives Jobs” report, ORR used this webinar to feature several of the outdoor professionals featured in the report and to share about their connection to the outdoor workforce.",Free public resource,None,https://www.youtube.com/watch?v=UOYCPtKIJkk,2026-08-14,RERC-RES-R2-073
Resource,Elevating Outdoor Recreation Together,Utah State University Institute of Outdoor Recreation and Tourism,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,"Reviews state outdoor recreation offices and offers lessons for governments, nonprofits, and recreation partners.",Free public resource,None,https://digitalcommons.usu.edu/extension_curall/1897/,2026-08-14,RERC-RES-R2-074
Resource,Federal Outdoor Recreation Trends and Economic Opportunities,USDA Forest Service Research and Development,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Research report,outdoor recreation; tourism; recreation economy; workforce; economic development; data,Summarizes participation trends and the economic activity supported by outdoor recreation on federal lands.,Free public resource,None,https://research.fs.usda.gov/treesearch/53247,2026-08-14,RERC-RES-R2-076
Resource,Recreation Economy at USDA: Resources for Rural Communities,USDA Rural Development,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Guide,outdoor recreation; recreation economy; rural development; infrastructure; business; conservation; planning,"Explains USDA programs and practical steps for rural communities building recreation economies through planning, business support, infrastructure, and conservation.",Free public resource,None,https://www.rd.usda.gov/sites/default/files/usdard_recreational_economy508.pdf,2026-08-14,RERC-RES-R2-077
Resource,Recreation Economic Values for the National Forest System,USDA Forest Service Research and Development,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Data and analysis tool,national forests; conservation; outdoor recreation; economic data,Estimates the economic value of recreation across the National Forest System.,Free public resource,None,https://research.fs.usda.gov/treesearch/54602,2026-08-14,RERC-RES-R2-078
Resource,Gateway and Natural Amenity Region Community Toolkit,Utah State University,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Case-study collection,gateway communities; public lands; conservation; planning; outdoor recreation,Provides planning tools and examples for gateway communities near public lands and natural amenities.,Free public resource,None,https://extension.usu.edu/gnar/tools/,2026-08-14,RERC-RES-R2-079
Resource,American Trails,American Trails,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Resource library,trails; planning; design; conservation; funding; management; maintenance,"Provides a searchable library for trail planning, design, conservation, funding, management, and maintenance.",Free public resource,None,https://www.americantrails.org/resource-library,2026-08-14,RERC-RES-R2-080
Resource,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Visual guide,transportation; bike; pedestrian; transit; parks; health; safe access,"Shows how communities can connect activity-friendly routes with everyday destinations such as parks, schools, shops, and transit.",Free public resource,None,https://www.cdc.gov/physical-activity/php/community-design-visual-guide/index.html,2026-08-14,RERC-RES-R2-081
Resource,Navigating Main Streets as Places,Main Street America and Project for Public Spaces,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Toolkit or guide,trails; transportation; bike; pedestrian; mobility; planning; funding,Shows how transportation projects can make Main Streets safer and more welcoming.,Free public resource,None,https://mainstreet.org/resources/knowledge-hub/publication/navigating-main-streets,2026-08-14,RERC-RES-R2-086
Resource,Trail-Building Toolbox,Rails-to-Trails Conservancy,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Toolkit or guide,trails; transportation; bike; pedestrian; mobility; planning; funding,"Provides tools for planning, building, and managing trails.",Free public resource,None,https://www.railstotrails.org/trail-building-toolbox/,2026-08-14,RERC-RES-R2-087
Resource,Trail Towns Resources,Rails-to-Trails Conservancy,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Toolkit or guide,trails; transportation; bike; pedestrian; mobility; planning; funding,"Helps communities connect trails with downtown businesses, visitors, and local plans.",Free public resource,None,https://www.railstotrails.org/trail-building-toolbox/trail-towns/,2026-08-14,RERC-RES-R2-088
Resource,Transportation Alternatives Program: Dollars and Deadlines,Safe Routes Partnership,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Resource hub,trails; transportation; bike; pedestrian; mobility; planning; funding,Shows Transportation Alternatives Program funding and deadlines for each state.,Free public resource,None,https://saferoutespartnership.org/dollars-and-deadlines-state-state-look-transportation-alternatives-program/,2026-08-14,RERC-RES-R2-089
Resource,The Scenic Route: Creative Placemaking and Transportation,Transportation for America,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments and organizations; nonprofits; community groups; businesses; planners; economic development partners,Planning,Guide and case studies,trails; transportation; bike; pedestrian; mobility; planning; funding,"Shows eight ways to use arts and culture in transportation planning, with local examples and supporting resources.",Free public resource,None,https://transportation.art/,2026-08-14,RERC-RES-R2-091
Resource,River Town Review Toolkit,"National Park Service Rivers, Trails, and Conservation Assistance Program",Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments; nonprofits; community groups; planners; tourism and business partners,Planning,Toolkit,river; trails; outdoor recreation; tourism; downtown; planning; community engagement; accessibility,"Guides communities through a local review of river access, trails, visitor services, downtown connections, and recreation businesses.",Free,None,https://www.nps.gov/orgs/rtca/river-town-review-toolkit.htm,2026-08-14,RERC-RES-NEW-2026-001
Resource,"Local Foods, Local Places Toolkit",U.S. Environmental Protection Agency,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments; nonprofits; community groups; food-system partners; planners,Planning,Toolkit,downtown; main street; food; economic development; planning; community engagement; action plan,Gives step-by-step workshop instructions and templates for local food and downtown projects.,Free,None,https://www.epa.gov/smartgrowth/local-foods-local-places-toolkit,2026-08-14,RERC-RES-NEW-2026-002
Resource,Equitable Engagement Toolkit,Oregon Department of Land Conservation and Development,Available,Available online,Nationwide and U.S. territories,,,,,,Local governments; Tribal governments; nonprofits; community groups; planners; consultants,Planning,Toolkit and mapping tools,community engagement; equity; planning; data; mapping; local capacity,"Provides worksheets, checklists, training, and mapping tools for reaching people who are often left out of planning.",Free,None,https://www.oregon.gov/lcd/About/Pages/Equitable-Engagement-Toolkit.aspx,2026-08-14,RERC-RES-NEW-2026-003
Resource,2026 Oregon Recreational Trails Plan and Technical Toolkit,Oregon Parks and Recreation Department,Available,Available online,Oregon,,,,,,Local governments; Tribal governments; state agencies; nonprofits; trail managers; planners,Planning,Plan and toolkit,trails; outdoor recreation; planning; funding; accessibility; stewardship; case studies,"Pairs Oregon's trail plan with guides, case studies, and public input.",Free,None,https://www.oregon.gov/oprd/prp/pages/pla-statewide-trails.aspx,2026-08-14,RERC-RES-NEW-2026-004
Funding,FEMA Hazard Mitigation Grant Program,Federal Emergency Management Agency,Disaster-triggered,"Available after qualifying presidential major-disaster declarations; applicant deadlines are set by the state, territory, or Tribe",Nationwide and U.S. territories,,,,,,"States, territories, federally recognized Tribes, and local governments or eligible nonprofits applying as subapplicants through them",Mixed,Grant,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,"Transportation projects must reduce a documented natural-hazard risk and meet mitigation-plan, feasibility, cost-effectiveness, and environmental requirements.","Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal,https://www.fema.gov/grants/mitigation/hazard-mitigation,2026-08-17,RERC-FND-2026-NAT-HMGP
Funding,Flood Mitigation Assistance Grant Program,Federal Emergency Management Agency,Recurring,Annual federal and applicant-level cycles; use the applicable state or territorial notice,Nationwide and U.S. territories,,,,,,"States, territories, federally recognized Tribes, and NFIP-participating communities applying through them",Mixed,Grant,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,Funding addresses long-term flood risk to NFIP-insured structures and communities; it is not a general transportation grant.,"Varies by allocation, declaration, or selected project",Generally 75% federal; enhanced shares may apply to repetitive-loss properties and qualifying communities,https://www.fema.gov/grants/mitigation/flood-mitigation-assistance,2026-08-17,RERC-FND-2026-NAT-FMA
Funding,Hazard Mitigation Grant Program Post Fire,Federal Emergency Management Agency,Fire-declaration-triggered,The application period opens with the first qualifying declaration of the fiscal year and generally closes six months after that fiscal year ends,Nationwide and U.S. territories,,,,,,"States, territories, and federally recognized Tribes affected by a qualifying Fire Management Assistance Grant declaration; local entities apply through them",Mixed,Grant,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,"Road, culvert, drainage, and slope projects may fit when they reduce documented post-wildfire hazard risk.","Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal,https://www.fema.gov/grants/mitigation/post-fire,2026-08-17,RERC-FND-2026-NAT-POSTFIRE
Funding,Safeguarding Tomorrow Revolving Loan Fund,Federal Emergency Management Agency,Recurring,FEMA capitalization-grant cycles and local revolving-loan availability vary,Nationwide and U.S. territories,,,,,,"States, eligible territories, the District of Columbia, and federally recognized Tribes establish revolving funds that make loans to local governments",Mixed,Capitalization grant and local low-interest loan,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,Local projects must reduce natural-hazard and disaster risk under an approved loan-fund project list.,"Varies by allocation, declaration, or selected project",Applicant and loan terms vary,https://www.fema.gov/grants/mitigation/storm-rlf,2026-08-17,RERC-FND-2026-NAT-STORM
Funding,Highway Safety Improvement Program,Federal Highway Administration,Ongoing formula program,Continuous state programming with state-specific calls where offered,Nationwide and U.S. territories,,,,,,State and territorial transportation agencies; local and Tribal projects generally enter through the applicable state or territorial process,Mixed,Formula funding and project delivery,disaster resilience; hazard mitigation; emergency preparedness; infrastructure; transportation; roadway safety; guardrails; barriers,"Guardrails, barriers, end treatments, and related roadside work can qualify when crash or risk analysis supports a fatal- or serious-injury reduction benefit.","Varies by allocation, declaration, or selected project",Generally 90% federal; certain safety devices and treatments may qualify for 100% federal share,https://highways.dot.gov/safety/hsip,2026-08-17,RERC-FND-2026-NAT-HSIP
Funding,PROTECT Formula Program,Federal Highway Administration,Ongoing formula program,Continuous state transportation programming,Multi-State,Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; District of Columbia; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Puerto Rico; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming,"PROTECT formula funding is apportioned to the 50 states, District of Columbia, and Puerto Rico.",https://www.fhwa.dot.gov/infrastructure-investment-and-jobs-act/protect_formula.cfm,,,"States, the District of Columbia, Puerto Rico, and eligible transportation partners through state programming",Mixed,Formula funding,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,"Supports transportation resilience planning and improvements for natural hazards, evacuation routes, and vulnerable infrastructure.","Varies by allocation, declaration, or selected project","Generally 80% federal, with planning and incentive exceptions",https://www.fhwa.dot.gov/infrastructure-investment-and-jobs-act/protect_formula.cfm,2026-08-17,RERC-FND-2026-NAT-PROTECT
Funding,Emergency Relief Program,Federal Highway Administration,Disaster-triggered,Available after qualifying natural disasters or catastrophic failures and an approved request,Nationwide and U.S. territories,,,,,,State transportation departments and federal land-management agencies; local road agencies coordinate through the state,Mixed,Reimbursement and repair funding,disaster resilience; hazard mitigation; emergency preparedness; infrastructure,Restores eligible Federal-aid and federal-lands highways after serious damage; resilience improvements must meet Emergency Relief rules.,"Varies by allocation, declaration, or selected project",Normal federal-aid share generally applies; qualifying emergency work may receive a higher share,https://www.fhwa.dot.gov/programadmin/erelief.cfm,2026-08-17,RERC-FND-2026-NAT-ER
Funding,Territorial Highway Program,Federal Highway Administration,Ongoing formula program,Continuous territorial transportation programming,Multi-State,American Samoa; Guam; Northern Mariana Islands; U.S. Virgin Islands,The Territorial Highway Program serves the four listed territories.,https://www.fhwa.dot.gov/pgc/index.cfm?ddisc=84&dsub=969,,,"American Samoa, Guam, Northern Mariana Islands, and U.S. Virgin Islands transportation agencies",Mixed,Formula funding and project delivery,disaster resilience; hazard mitigation; emergency preparedness; infrastructure; transportation; roadway safety; guardrails; barriers,Territories program eligible highway and safety projects; this is not a direct grant application for individuals.,"Varies by allocation, declaration, or selected project",Program-specific federal share,https://www.fhwa.dot.gov/pgc/index.cfm?ddisc=84&dsub=969,2026-08-17,RERC-FND-2026-NAT-THP
Funding,Alabama Hazard Mitigation Assistance Funding Route,Alabama Emergency Management Agency,Program active; current cycle uncertain,Disaster-triggered or annual by program; confirm with AEMA,Alabama,,,,,,"Local governments, Tribes, and eligible nonprofits coordinate with the AEMA Hazard Mitigation Branch",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The official overview is not a current NOFO; do not treat it as an open call. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://ema.alabama.gov/about/agency-divisions/,2026-08-17,RERC-FND-2026-HMA-ALABAMA
Funding,Alaska Hazard Mitigation Assistance Funding Route,Alaska Division of Homeland Security and Emergency Management,No HMGP disaster intake open when checked,Disaster-triggered; monitor state notices,Alaska,,,,,,"State, local, Tribal, Alaska Native village, and eligible nonprofit subapplicants submit through the state",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,An approved mitigation plan and state prioritization are required. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://ready.alaska.gov/Mitigation/HMGP,2026-08-17,RERC-FND-2026-HMA-ALASKA
Funding,American Samoa Hazard Mitigation Assistance Funding Route,American Samoa Office of Disaster Assistance and Petroleum Management,Disaster-triggered,Cycle depends on a qualifying declaration,American Samoa,,,,,,Territorial agencies and eligible local entities coordinate with ODAPM,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The territorial page describes HMGP and the usual 75% federal share. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://odapm.as.gov/hazardmitigation,2026-08-17,RERC-FND-2026-HMA-AMERICAN-SAMOA
Funding,Arizona Hazard Mitigation Assistance Funding Route,Arizona Department of Emergency and Military Affairs,Recurring and disaster-triggered,Program-specific state notices,Arizona,,,,,,"State and local governments, special districts, and Tribes apply through Arizona DEMA",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Ordinary road-safety work is not eligible without a natural-hazard mitigation purpose. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://dema.az.gov/emergency-management-landing-page/infrastructure-and-grant-administration/mitigation/mitigation_grant_programs,2026-08-17,RERC-FND-2026-HMA-ARIZONA
Funding,Arkansas Hazard Mitigation Assistance Funding Route,Arkansas Division of Emergency Management,Current cycle uncertain,Contact ADEM for a current state deadline,Arkansas,,,,,,Eligible local governments and other subapplicants apply through ADEM,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,"The state portal is authoritative, but a current public deadline was not verified. Transportation work must have a documented natural-hazard mitigation purpose.","Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://adem.arkansas.gov/hazard-mitigation-grants,2026-08-17,RERC-FND-2026-HMA-ARKANSAS
Funding,California Hazard Mitigation Assistance Funding Route,California Governor's Office of Emergency Services,Recurring and disaster-triggered,State notices of interest and subapplication deadlines vary,California,,,,,,"Local and state agencies, Tribes, special districts, and eligible nonprofits submit through Cal OES",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,State selection and FEMA eligibility review apply. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.caloes.ca.gov/office-of-the-director/operations/recovery-directorate/hazard-mitigation/hm-grant-opportunities/hma-hmgp/,2026-08-17,RERC-FND-2026-HMA-CALIFORNIA
Funding,Colorado Hazard Mitigation Assistance Funding Route,Colorado Division of Homeland Security and Emergency Management,Recurring and disaster-triggered,Program-specific state notices,Colorado,,,,,,Eligible local governments and partners coordinate with Colorado DHSEM,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The umbrella page lists mitigation grant programs but does not establish a current open deadline. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://dhsem.colorado.gov/grants,2026-08-17,RERC-FND-2026-HMA-COLORADO
Funding,Connecticut Hazard Mitigation Assistance Funding Route,Connecticut Division of Emergency Management and Homeland Security,Portal accepts applications or letters of intent; cycle deadline not stated,Confirm the applicable cycle with DEMHS,Connecticut,,,,,,"State and local agencies, Tribes, and program-eligible nonprofits submit through DEMHS",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Portal availability does not guarantee that every FEMA program has an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://portal.ct.gov/demhs/emergency-management/draft---recovery-and-hazard-mitigation-resilience-unit/disaster-recovery-and-hazard-mitigation-resilience-home/copy-of-hazard-mitigation-and-resiliency/copy-of-building-resilient-infrastructure-and-communities/copy-of-apply_bric,2026-08-17,RERC-FND-2026-HMA-CONNECTICUT
Funding,Delaware Hazard Mitigation Assistance Funding Route,Delaware Emergency Management Agency,Current cycle uncertain,No current deadline posted,Delaware,,,,,,Government officials and eligible entities coordinate directly with DEMA,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,"The page is a program gateway, not a current NOFO. Transportation work must have a documented natural-hazard mitigation purpose.","Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.dema.delaware.gov/recovery/,2026-08-17,RERC-FND-2026-HMA-DELAWARE
Funding,District of Columbia Hazard Mitigation Assistance Funding Route,DC Homeland Security and Emergency Management Agency,FY2024/25 BRIC round closed,Future project-idea and federal deadlines will be posted by HSEMA,District of Columbia,,,,,,"DC agency partners submit ideas to HSEMA, which applies to FEMA",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Individuals and businesses cannot apply directly. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://hsema.dc.gov/page/building-resilient-infrastructure-and-communities-program,2026-08-17,RERC-FND-2026-HMA-DISTRICT-OF-COLUMBIA
Funding,Florida Hazard Mitigation Assistance Funding Route,Florida Division of Emergency Management,FY2026 notice-of-interest period closed,Closed 2026-08-14; future formal dates depend on FEMA and FDEM,Florida,,,,,,"State agencies, Tribes, and local governments submit an NOI to FDEM before an invited FEMA GO subapplication",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The state NOI deadline passed three days before this review. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://www.floridadisaster.org/dem/mitigation/builing-resilient-infrastructure-and-communities-bric-grant-program/,2026-08-17,RERC-FND-2026-HMA-FLORIDA
Funding,Georgia Hazard Mitigation Assistance Funding Route,Georgia Emergency Management and Homeland Security Agency,Rolling preapplications,Rolling; federal cycles still control award timing,Georgia,,,,,,Public agencies submit a GEMA/HS preapplication and invited applications proceed in FEMA GO,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,A preapplication is not an award guarantee. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://gema.georgia.gov/bric,2026-08-17,RERC-FND-2026-HMA-GEORGIA
Funding,Guam Hazard Mitigation Assistance Funding Route,Guam Homeland Security Office of Civil Defense,Disaster-triggered and recurring,Program-specific territorial notices,Guam,,,,,,Government entities and eligible nonprofits coordinate through Guam HSOCD,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,Territorial prioritization and FEMA review apply. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://ghs.guam.gov/programs/hazard-mitigation-program,2026-08-17,RERC-FND-2026-HMA-GUAM
Funding,Hawaii Hazard Mitigation Assistance Funding Route,Hawaii Emergency Management Agency,Recurring and disaster-triggered,Program-specific state notices,Hawaii,,,,,,State and county agencies and qualifying nonprofits coordinate through HI-EMA,Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,The umbrella page does not establish a single standing deadline. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://dod.hawaii.gov/hiema/hazard-mitigation/,2026-08-17,RERC-FND-2026-HMA-HAWAII
Funding,Idaho Hazard Mitigation Assistance Funding Route,Idaho Office of Emergency Management,Disaster-triggered,State notices follow qualifying declarations,Idaho,,,,,,"State and local governments, Tribes, and eligible nonprofits submit through IOEM",Mixed,State-administered federal grant route,disaster resilience; hazard mitigation; flood; wildfire; emergency preparedness; infrastructure,An approved mitigation plan and state selection are required. Transportation work must have a documented natural-hazard mitigation purpose.,"Varies by allocation, declaration, or selected project",Generally 75% federal and 25% nonfederal; exceptions may apply,https://ioem.idaho.gov/grants/disaster-grants/hazard-mitigation-grant-program-hmgp/,2026-08-17,RERC-FND-2026-HMA-IDAHO
